HS96;lib
270810;Pitch From Coal Tar Or Other Mineral Tars
270820;Pitch Coke
270900;Petroleum Oils And Oils From Bituminous Minerals, Crude
271000;line Including Aviation (Except Jet) Fuel
271111;Natural Gas, Liquefied
271112;Propane, Liquefied
271113;Butane, Liquefied
271114;Ethylene, Propylene, Butylene And Butadiene, Liquefied
271119;Gaseous Hydrocarbons, Liquefied, N.E.S.
271121;Natural Gas, In The Gaseous State
271129;Gaseous Hydrocarbons In The Gaseous State, N.E.S.
271210;Petroleum Jelly (Petrolatum)
271220;Paraffin Wax, Microcrystalline Petroleum Wax, Slack Wax, Ozokerite, Lignite Wax, Peat Wax Etc., Whether Or Not Colored
271290;Paraffin Wax, Microcrystalline Petroleum Wax, Slack Wax, Ozokerite, Lignite Wax, Peat Wax Etc., Whether Or Not Colored
271311;Petroleum Coke
271312;Petroleum Coke
271320;"Petroleum Bitumen And Other Residues Of Petroleum Or Bituminous Mineral Oils; Bituminous Mixtures"
271390;"Petroleum Bitumen And Other Residues Of Petroleum Or Bituminous Mineral Oils; Bituminous Mixtures"
271410;Bituminous Shale And Tar Sands
271490;"Bitumen And Asphalt, Natural; Asphaltites And Asphaltic Rocks"
271500;Bituminous Mixtures Based On Natural Asphalt, Natural Bitumen, Petroleum Bitumen, Mineral Tar Or Mineral Tar Pitch
271600;Electric Current
280110;Chlorine
280120;Fluorine, Bromine And Iodine
280130;Fluorine, Bromine And Iodine
280200;"Sulfur, Sublimed Or Precipitated; Collodoidal Sulfur"
280300;Carbon (Including Carbon Black), N.E.S.
280410;Hydrogen, Rare Gases, Nitrogen And Oxygen
280421;Hydrogen, Rare Gases, Nitrogen And Oxygen
280429;Hydrogen, Rare Gases, Nitrogen And Oxygen
280430;Hydrogen, Rare Gases, Nitrogen And Oxygen
280440;Hydrogen, Rare Gases, Nitrogen And Oxygen
280450;Selenium, Tellurium, Phosphorus, Arsenic And Boron
280461;Silicon
280469;Silicon
280470;Selenium, Tellurium, Phosphorus, Arsenic And Boron
280480;Selenium, Tellurium, Phosphorus, Arsenic And Boron
280490;Selenium, Tellurium, Phosphorus, Arsenic And Boron
280511;Sodium And Other Alkali Metals
280519;Sodium And Other Alkali Metals
280521;"Calcium, Strontium And Barium; Rare Earth Metals, Scandium And Yttrium, Whether Not Intermixed Or Interalloyed"
280522;"Calcium, Strontium And Barium; Rare Earth Metals, Scandium And Yttrium, Whether Not Intermixed Or Interalloyed"
280530;"Calcium, Strontium And Barium; Rare Earth Metals, Scandium And Yttrium, Whether Not Intermixed Or Interalloyed"
280540;Mercury
280610;"Hydrogen Chloride, (Hydrochloric Acid); Chlorosulfuric Acid"
280620;"Hydrogen Chloride, (Hydrochloric Acid); Chlorosulfuric Acid"
280700;"Sulfuric Acid; Oleum"
280800;"Nitric Acid; Sulfonitric Acids"
280910;"Diphosphorus Pentoxide; Phosphoric Acid And Polyphosphoric Acids"
280920;"Diphosphorus Pentoxide; Phosphoric Acid And Polyphosphoric Acids"
281000;"Boron Oxides; Boric Acids"
281111;Inorganic Acids, N.E.S.
281119;Inorganic Acids, N.E.S.
281121;Inorganic Oxygen Compounds Of Nonmetals, N.E.S.
281122;Silicon Dioxide
281123;Sulfur Dioxide
281129;Inorganic Oxygen Compounds Of Nonmetals, N.E.S.
281210;Halides And Halide Oxides Of Nonmetals
281290;Halides And Halide Oxides Of Nonmetals
281310;"Sulfides Of Nonmetals; Commercial Phosphorus Trisulfide"
281390;"Sulfides Of Nonmetals; Commercial Phosphorus Trisulfide"
281410;Ammonia, Anhydrous, Or In Aqueous Solution
281420;Ammonia, Anhydrous, Or In Aqueous Solution
281511;Sodium Hydroxide (Caustic Soda), Solid
281512;Sodium Hydroxide In Aqueous Solution (Soda Lye Or Liquid Soda)
281520;"Potassium Hydroxide (Caustic Potash); Peroxides Of Sodium Or Potassium"
281530;"Potassium Hydroxide (Caustic Potash); Peroxides Of Sodium Or Potassium"
281610;"Magnesium Hydroxide And Peroxide; Stronium Or Barium Oxides, Hydroxides And Peroxides"
281620;"Magnesium Hydroxide And Peroxide; Stronium Or Barium Oxides, Hydroxides And Peroxides"
281630;"Magnesium Hydroxide And Peroxide; Stronium Or Barium Oxides, Hydroxides And Peroxides"
281700;"Zinc Oxide; Zinc Peroxide"
281810;Artificial Corundum, Whether Or Not Chemically Defined
281820;Alumina (Aluminum Oxide), Other Than Artificial Corundum
281830;Aluminum Hydroxide
281910;Chromium Oxides And Hydroxides
281990;Chromium Oxides And Hydroxides
282010;Manganese Oxides
282090;Manganese Oxides
282110;"Iron Oxides And Hydroxides; Earth Colors 70% Or More By Weight Of Combined Iron Evaluated As Fe203"
282120;"Iron Oxides And Hydroxides; Earth Colors 70% Or More By Weight Of Combined Iron Evaluated As Fe203"
282200;"Cobalt Oxides And Hydroxides; Commercial Cobalt Oxides"
282300;Titanium Oxides
282410;"Lead Oxides; Red Lead And Orange Lead"
282420;"Lead Oxides; Red Lead And Orange Lead"
282490;"Lead Oxides; Red Lead And Orange Lead"
282510;Hydrazine And Hydroxylamine And Their Inorganic Salts
282520;"Inorganic Bases N.E.S.; Metal Oxides, Hydroxides And Peroxides, N.E.S."
282530;"Inorganic Bases N.E.S.; Metal Oxides, Hydroxides And Peroxides, N.E.S."
282540;"Inorganic Bases N.E.S.; Metal Oxides, Hydroxides And Peroxides, N.E.S."
282550;"Inorganic Bases N.E.S.; Metal Oxides, Hydroxides And Peroxides, N.E.S."
282560;"Inorganic Bases N.E.S.; Metal Oxides, Hydroxides And Peroxides, N.E.S."
282570;"Inorganic Bases N.E.S.; Metal Oxides, Hydroxides And Peroxides, N.E.S."
282580;"Inorganic Bases N.E.S.; Metal Oxides, Hydroxides And Peroxides, N.E.S."
282590;"Inorganic Bases N.E.S.; Metal Oxides, Hydroxides And Peroxides, N.E.S."
282611;"Fluorides; Fluorosilicates, Fluoroaluminates And Other Complex Fluorine Salts"
282612;"Fluorides; Fluorosilicates, Fluoroaluminates And Other Complex Fluorine Salts"
282619;"Fluorides; Fluorosilicates, Fluoroaluminates And Other Complex Fluorine Salts"
282620;"Fluorides; Fluorosilicates, Fluoroaluminates And Other Complex Fluorine Salts"
282630;"Fluorides; Fluorosilicates, Fluoroaluminates And Other Complex Fluorine Salts"
282690;"Fluorides; Fluorosilicates, Fluoroaluminates And Other Complex Fluorine Salts"
282710;Ammonium Chloride
282720;Calcium Chloride
282731;"Chlorides, Chloride Oxides And Hydroxides, N.E.S.; Bromides And Bromide Oxides; Iodides And Iodide Oxides"
282732;"Chlorides, Chloride Oxides And Hydroxides, N.E.S.; Bromides And Bromide Oxides; Iodides And Iodide Oxides"
282733;"Chlorides, Chloride Oxides And Hydroxides, N.E.S.; Bromides And Bromide Oxides; Iodides And Iodide Oxides"
282734;"Chlorides, Chloride Oxides And Hydroxides, N.E.S.; Bromides And Bromide Oxides; Iodides And Iodide Oxides"
282735;"Chlorides, Chloride Oxides And Hydroxides, N.E.S.; Bromides And Bromide Oxides; Iodides And Iodide Oxides"
282736;"Chlorides, Chloride Oxides And Hydroxides, N.E.S.; Bromides And Bromide Oxides; Iodides And Iodide Oxides"
282738;"Chlorides, Chloride Oxides And Hydroxides, N.E.S.; Bromides And Bromide Oxides; Iodides And Iodide Oxides"
282739;"Chlorides, Chloride Oxides And Hydroxides, N.E.S.; Bromides And Bromide Oxides; Iodides And Iodide Oxides"
282741;"Chlorides, Chloride Oxides And Hydroxides, N.E.S.; Bromides And Bromide Oxides; Iodides And Iodide Oxides"
282749;"Chlorides, Chloride Oxides And Hydroxides, N.E.S.; Bromides And Bromide Oxides; Iodides And Iodide Oxides"
282751;"Chlorides, Chloride Oxides And Hydroxides, N.E.S.; Bromides And Bromide Oxides; Iodides And Iodide Oxides"
282759;"Chlorides, Chloride Oxides And Hydroxides, N.E.S.; Bromides And Bromide Oxides; Iodides And Iodide Oxides"
282760;"Chlorides, Chloride Oxides And Hydroxides, N.E.S.; Bromides And Bromide Oxides; Iodides And Iodide Oxides"
282810;"Hypochlorites; Commercial Calcium Hypochlorite; Chlorites; Hypobromites"
282890;"Hypochlorites; Commercial Calcium Hypochlorite; Chlorites; Hypobromites"
282911;Sodium Chlorate
282919;"Chlorates And Perchlorates, N.E.S.; Bromates And Perbromates; Iodates And Periodates"
282990;"Chlorates And Perchlorates, N.E.S.; Bromates And Perbromates; Iodates And Periodates"
283010;Sodium Sulfide
283020;"Sulfides, N.E.S.; Polysulfides"
283030;"Sulfides, N.E.S.; Polysulfides"
283090;"Sulfides, N.E.S.; Polysulfides"
283110;Dithionites And Sulfoxylates
283190;Dithionites And Sulfoxylates
283210;"Sulfites; Thiosulfates"
283220;"Sulfites; Thiosulfates"
283230;"Sulfites; Thiosulfates"
283311;Sodium Sulfates
283319;Sodium Sulfates
283321;"Sulfates N.E.S.; Alums"
283322;"Sulfates N.E.S.; Alums"
283323;"Sulfates N.E.S.; Alums"
283324;"Sulfates N.E.S.; Alums"
283325;"Sulfates N.E.S.; Alums"
283326;"Sulfates N.E.S.; Alums"
283327;"Sulfates N.E.S.; Alums"
283329;"Sulfates N.E.S.; Alums"
283330;"Sulfates N.E.S.; Alums"
283340;"Sulfates N.E.S.; Alums"
283410;Nitrites
283421;Potassium Nitrate
283422;Nitrates, N.E.S.
283429;Nitrates, N.E.S.
283510;Phosphinates (Hypophosphites) And Phosphonates (Phosphites)
283522;Phosphates, N.E.S.
283523;Phosphates, N.E.S.
283524;Phosphates, N.E.S.
283525;Phosphates, N.E.S.
283526;Phosphates, N.E.S.
283529;Phosphates, N.E.S.
283531;Sodium Triphosphate (Sodium Tripolyphosphate)
283539;Polyphosphates, N.E.S.
283610;Commercial Ammonium Carbonate And Other Ammonium Carbonates
283620;Neutral Sodium Carbonate (Disodium Carbonate)
283630;Sodium Hydrogencarbonate (Sodium Bicarbonate)
283640;Potassium Carbonates
283650;Carbonates, N.E.S.
283660;Carbonates, N.E.S.
283670;Lead Carbonate
283691;Carbonates, N.E.S.
283692;Carbonates, N.E.S.
283699;Carbonates, N.E.S.
283711;Cyanides, Cyanide Oxides And Complex Cyanides
283719;Cyanides, Cyanide Oxides And Complex Cyanides
283720;Cyanides, Cyanide Oxides And Complex Cyanides
283800;Fulminates, Cyanates And Thiocyanates
283911;"Silicates; Commercial Alkali Metal Silicates"
283919;"Silicates; Commercial Alkali Metal Silicates"
283920;"Silicates; Commercial Alkali Metal Silicates"
283990;"Silicates; Commercial Alkali Metal Silicates"
284011;"Borates; Peroxoborates (Perborates)"
284019;"Borates; Peroxoborates (Perborates)"
284020;"Borates; Peroxoborates (Perborates)"
284030;"Borates; Peroxoborates (Perborates)"
284110;Salts Of Oxometallic Or Peroxometallic Acids
284120;Salts Of Oxometallic Or Peroxometallic Acids
284130;Salts Of Oxometallic Or Peroxometallic Acids
284140;Salts Of Oxometallic Or Peroxometallic Acids
284150;Salts Of Oxometallic Or Peroxometallic Acids
284161;Salts Of Oxometallic Or Peroxometallic Acids
284169;Salts Of Oxometallic Or Peroxometallic Acids
284170;Salts Of Oxometallic Or Peroxometallic Acids
284180;Salts Of Oxometallic Or Peroxometallic Acids
284190;Salts Of Oxometallic Or Peroxometallic Acids
284210;Salts Of Inorganic Acids Or Peroxoacids, N.E.S.
284290;Salts Of Inorganic Acids Or Peroxoacids, N.E.S.
284310;"Colloidal Precious Metals; Organic Or Inorganic Precious Metal Compounds, Chemically Defined Or Not; Amalgams Of Precious Metals"
284321;"Colloidal Precious Metals; Organic Or Inorganic Precious Metal Compounds, Chemically Defined Or Not; Amalgams Of Precious Metals"
284329;"Colloidal Precious Metals; Organic Or Inorganic Precious Metal Compounds, Chemically Defined Or Not; Amalgams Of Precious Metals"
284330;"Colloidal Precious Metals; Organic Or Inorganic Precious Metal Compounds, Chemically Defined Or Not; Amalgams Of Precious Metals"
284390;"Colloidal Precious Metals; Organic Or Inorganic Precious Metal Compounds, Chemically Defined Or Not; Amalgams Of Precious Metals"
284410;"Natural Uranium And Its Compounds; Uranium Alloys, Dispersions, Ceramic Products And Mixtures Containing Natural Uranium Or Natural Uranium Compound"
284420;"Uranium And Its Compounds Enriched In U235; Plutonium And Its Compounds; Alloys, And Other Products Containing Enriched Uranium Or Plutonium"
284430;"Uranium And Its Compounds Depleted In U235; Thorium And Its Compounds; Alloys, And Other Products Containing Uranium Depleted In U235 Or Thorium"
284440;"Radioactive Elements, Isotopes And Compounds, N.E.S.; Alloys, Other Products And Mixtures Having These Elements, Isotopes Or Compounds; Residues"
284450;Spent (Irradiated) Fuel Elements (Cartridges) Of Nuclear Reactors
284510;Stable Isotopes And Their Compounds, Inorganic Or Organic, Chemically Defined Or Not
284590;Stable Isotopes And Their Compounds, Inorganic Or Organic, Chemically Defined Or Not
284610;Compounds, inorganic or organic of rare-earth metals
284690;Compounds, inorganic or organic of rare-earth metals
284700;Hydrogen Peroxide, Solidified Or Not With Urea
284800;Phosphides, Chemically Defined Or Not (Excluding Ferrophosphorus)
284910;Calcium Carbide, Chemically Defined Or Not
284920;Carbides (Other Than Calcium Carbide), Chemically Defined Or Not
284990;Carbides (Other Than Calcium Carbide), Chemically Defined Or Not
285000;Hydrides, Nitrides, Azides, Silicides And Borides, Whet Or Nt Chemically Defined, Oth Th Compounds Which Are Also Carbides Of Headng 524.93 Or 524.9
285100;"Inorganic Compounds N.E.S. (Including Distilled Or Conductivity Water); Liquid Air (With Rare Gases Or Not); Compressed Air; Amalgams, N.E.S."
290110;Saturated Acyclic Hydrocarbons
290121;Ethylene
290122;Propene (Propylene)
290123;Butylenes, Butadienes And Methylbutadienes
290124;Butylenes, Butadienes And Methylbutadienes
290129;Acyclic Hydrocarbons, N.E.S.
290211;Cyclohexane
290219;Cyclic Hydrocarbons, N.E.S.
290220;Benzene, Pure
290230;Toluene, Pure
290241;Xylenes, Pure
290242;Xylenes, Pure
290243;Xylenes, Pure
290244;Xylenes, Pure
290250;Styrene
290260;Ethylbenzene
290270;Cumene
290290;Cyclic Hydrocarbons, N.E.S.
290311;Saturated Chlorinated Derivatives Of Acyclic Hydrocarbons, N.E.S.
290312;Saturated Chlorinated Derivatives Of Acyclic Hydrocarbons, N.E.S.
290313;Saturated Chlorinated Derivatives Of Acyclic Hydrocarbons, N.E.S.
290314;Saturated Chlorinated Derivatives Of Acyclic Hydrocarbons, N.E.S.
290315;1,2-Dichloroethane (Ethylene Dichloride)
290316;Saturated Chlorinated Derivatives Of Acyclic Hydrocarbons, N.E.S.
290319;Saturated Chlorinated Derivatives Of Acyclic Hydrocarbons, N.E.S.
290321;Vinyl Chloride (Chloroethylene)
290322;Trichloroethylene
290323;Tetrachloroethylene (Perchloroethylene)
290329;Unsaturated Chlorinated Derivatives Of Acyclic Hydrocarbons, N.E.S.
290330;Fluorinated, Brominated Or Iodinated Derivatives Of Acyclic Hydrocarbons
290341;Halogenated Derivatives Of Acyclic Hydrocarbons Containing Two Or More Different Halogens
290342;Halogenated Derivatives Of Acyclic Hydrocarbons Containing Two Or More Different Halogens
290343;Halogenated Derivatives Of Acyclic Hydrocarbons Containing Two Or More Different Halogens
290344;Halogenated Derivatives Of Acyclic Hydrocarbons Containing Two Or More Different Halogens
290345;Halogenated Derivatives Of Acyclic Hydrocarbons Containing Two Or More Different Halogens
290346;Halogenated Derivatives Of Acyclic Hydrocarbons Containing Two Or More Different Halogens
290347;Halogenated Derivatives Of Acyclic Hydrocarbons Containing Two Or More Different Halogens
290349;Halogenated Derivatives Of Acyclic Hydrocarbons Containing Two Or More Different Halogens
290351;Halogenated Derivatives Of Hydrocarbons, N.E.S.
290359;Halogenated Derivatives Of Hydrocarbons, N.E.S.
290361;Halogenated Derivatives Of Hydrocarbons, N.E.S.
290362;Halogenated Derivatives Of Hydrocarbons, N.E.S.
290369;Halogenated Derivatives Of Hydrocarbons, N.E.S.
290410;Sulfonated, Nitrated Or Nitrosated Derivatives Of Hydrocarbons, Halogenated Or Not
290420;Sulfonated, Nitrated Or Nitrosated Derivatives Of Hydrocarbons, Halogenated Or Not
290490;Sulfonated, Nitrated Or Nitrosated Derivatives Of Hydrocarbons, Halogenated Or Not
290511;Methanol (Methyl Alcohol)
290512;Propan
290513;Butanols
290514;Butanols
290515;Monohydric Alcohols, N.E.S.
290516;Octanol (Octyl Alcohol) And Isomers Thereof
290517;Monohydric Alcohols, N.E.S.
290519;Monohydric Alcohols, N.E.S.
290522;Monohydric Alcohols, N.E.S.
290529;Monohydric Alcohols, N.E.S.
290531;Ethylene Glycol (Ethanediol)
290532;Acyclic Alcohols, N.E.S.
290539;Acyclic Alcohols, N.E.S.
290541;Acyclic Alcohols, N.E.S.
290542;Pentaerythritol
290543;Mannitol
290544;D
290545;Glycerol (Glycerine), Glycerol Waters And Glycerol Lyes
290549;Acyclic Alcohols, N.E.S.
290550;Acyclic Alcohols, N.E.S.
290611;Cyclanic, Cyclenic, Or Cycloterpenic Alcohols And Their Halogenated, Sulfonated, Nitrated Or Nitrosated Derivatives
290612;Cyclanic, Cyclenic, Or Cycloterpenic Alcohols And Their Halogenated, Sulfonated, Nitrated Or Nitrosated Derivatives
290613;Cyclanic, Cyclenic, Or Cycloterpenic Alcohols And Their Halogenated, Sulfonated, Nitrated Or Nitrosated Derivatives
290614;Cyclanic, Cyclenic, Or Cycloterpenic Alcohols And Their Halogenated, Sulfonated, Nitrated Or Nitrosated Derivatives
290619;Cyclanic, Cyclenic, Or Cycloterpenic Alcohols And Their Halogenated, Sulfonated, Nitrated Or Nitrosated Derivatives
290621;Aromatic Cyclic Alcohols And Their Halogenated, Sulfonated, Nitrated Or Nitrosated Derivatives
290629;Aromatic Cyclic Alcohols And Their Halogenated, Sulfonated, Nitrated Or Nitrosated Derivatives
290711;Phenol (Hydroxybenzene), Pure, And Its Salts
290712;Cresols, N.E.S., And Their Salts
290713;Phenols And Phenol
290714;Phenols And Phenol
290715;Phenols And Phenol
290719;Phenols And Phenol
290721;Phenols And Phenol
290722;Phenols And Phenol
290723;Phenols And Phenol
290729;Phenols And Phenol
290730;Phenols And Phenol
290810;Phenol Or Phenol
290820;Phenol Or Phenol
290890;Phenol Or Phenol
290911;Acyclic, Cyclanic, Cyclenic, Cycloterpenic And Aromatic Ethers And Their Halogenated, Sulfonated, Nitrated Or Nitrosated Derivatives
290919;Acyclic, Cyclanic, Cyclenic, Cycloterpenic And Aromatic Ethers And Their Halogenated, Sulfonated, Nitrated Or Nitrosated Derivatives
290920;Acyclic, Cyclanic, Cyclenic, Cycloterpenic And Aromatic Ethers And Their Halogenated, Sulfonated, Nitrated Or Nitrosated Derivatives
290930;Acyclic, Cyclanic, Cyclenic, Cycloterpenic And Aromatic Ethers And Their Halogenated, Sulfonated, Nitrated Or Nitrosated Derivatives
290941;Ether
290942;Ether
290943;Ether
290944;Ether
290949;Ether
290950;Ether
290960;Ether
291010;Oxirane (Ethylene Oxide)
291020;Methyloxirane (Propylene Oxide)
291030;Epoxides, Epoxyalcohols, Epoxyphenols And Epoxyethers With A Three
291090;Epoxides, Epoxyalcohols, Epoxyphenols And Epoxyethers With A Three
291100;Acetals And Hemiacetals, Whether Or Not With Other Oxygen
291211;Acyclic Aldehydes Without Other Oxygen Function
291212;Acyclic Aldehydes Without Other Oxygen Function
291213;Acyclic Aldehydes Without Other Oxygen Function
291219;Acyclic Aldehydes Without Other Oxygen Function
291221;"Aldehydes, Whether Or Not With Other Oxygen Function N.E.S.; Cyclic Polymers Of Aldehydes; Paraformaldehyde"
291229;"Aldehydes, Whether Or Not With Other Oxygen Function N.E.S.; Cyclic Polymers Of Aldehydes; Paraformaldehyde"
291230;"Aldehydes, Whether Or Not With Other Oxygen Function N.E.S.; Cyclic Polymers Of Aldehydes; Paraformaldehyde"
291241;"Aldehydes, Whether Or Not With Other Oxygen Function N.E.S.; Cyclic Polymers Of Aldehydes; Paraformaldehyde"
291242;"Aldehydes, Whether Or Not With Other Oxygen Function N.E.S.; Cyclic Polymers Of Aldehydes; Paraformaldehyde"
291249;"Aldehydes, Whether Or Not With Other Oxygen Function N.E.S.; Cyclic Polymers Of Aldehydes; Paraformaldehyde"
291250;"Aldehydes, Whether Or Not With Other Oxygen Function N.E.S.; Cyclic Polymers Of Aldehydes; Paraformaldehyde"
291260;"Aldehydes, Whether Or Not With Other Oxygen Function N.E.S.; Cyclic Polymers Of Aldehydes; Paraformaldehyde"
291300;Derivatives Of Aldehyde
291411;Acetone
291412;Butanone (Ethyl Methyl Ketone)
291413;Acyclic Ketones Without Other Oxygen Function, N.E.S.
291419;Acyclic Ketones Without Other Oxygen Function, N.E.S.
291421;Camphor
291422;Cyclanic, Cyclenic Or Cycloterpenic Ketones Without Other Oxygen Function, N.E.S.
291423;Cyclanic, Cyclenic Or Cycloterpenic Ketones Without Other Oxygen Function, N.E.S.
291429;Cyclanic, Cyclenic Or Cycloterpenic Ketones Without Other Oxygen Function, N.E.S.
291431;"Aromatic Ketones, Ketone Alcohols, Aldehydes, Phenols And Other Etc; Quinones; Halogenated, Sulfonated, Nitrated Etc. Ketone And Quinone Derivatives"
291439;"Aromatic Ketones, Ketone Alcohols, Aldehydes, Phenols And Other Etc; Quinones; Halogenated, Sulfonated, Nitrated Etc. Ketone And Quinone Derivatives"
291440;"Aromatic Ketones, Ketone Alcohols, Aldehydes, Phenols And Other Etc; Quinones; Halogenated, Sulfonated, Nitrated Etc. Ketone And Quinone Derivatives"
291450;"Aromatic Ketones, Ketone Alcohols, Aldehydes, Phenols And Other Etc; Quinones; Halogenated, Sulfonated, Nitrated Etc. Ketone And Quinone Derivatives"
291461;"Aromatic Ketones, Ketone Alcohols, Aldehydes, Phenols And Other Etc; Quinones; Halogenated, Sulfonated, Nitrated Etc. Ketone And Quinone Derivatives"
291469;"Aromatic Ketones, Ketone Alcohols, Aldehydes, Phenols And Other Etc; Quinones; Halogenated, Sulfonated, Nitrated Etc. Ketone And Quinone Derivatives"
291470;"Aromatic Ketones, Ketone Alcohols, Aldehydes, Phenols And Other Etc; Quinones; Halogenated, Sulfonated, Nitrated Etc. Ketone And Quinone Derivatives"
291511;Formic Acid And Its Salts And Esters
291512;Formic Acid And Its Salts And Esters
291513;Formic Acid And Its Salts And Esters
291521;Acetic Acid And Its Salts
291522;Acetic Acid And Its Salts
291523;Acetic Acid And Its Salts
291524;"Saturated Acyclic Monocarboxylic Acids, Nes; Their Anhydrides, Halides, Peroxides, Peroxyacids And Halogenated, Sulfonated, Nitrated Etc."
291529;Acetic Acid And Its Salts
291531;Esters Of Acetic Acid
291532;Esters Of Acetic Acid
291533;Esters Of Acetic Acid
291534;Esters Of Acetic Acid
291535;Esters Of Acetic Acid
291539;Esters Of Acetic Acid
291540;"Saturated Acyclic Monocarboxylic Acids, Nes; Their Anhydrides, Halides, Peroxides, Peroxyacids And Halogenated, Sulfonated, Nitrated Etc."
291550;"Saturated Acyclic Monocarboxylic Acids, Nes; Their Anhydrides, Halides, Peroxides, Peroxyacids And Halogenated, Sulfonated, Nitrated Etc."
291560;Butyric Acids, Valeric Acids, Their Salts And Esters
291570;Palmitic Acid, Stearic Acid, Their Salts And Esters
291590;"Saturated Acyclic Monocarboxylic Acids, Nes; Their Anhydrides, Halides, Peroxides, Peroxyacids And Halogenated, Sulfonated, Nitrated Etc."
291611;"Unsaturated Acyclic Monocarboxylic Acids N.E.S.; Cyclic Monocarboxylic Acids, Their Anhydrides, Halides, Peroxides, Peroxyacids And Their Derivative"
291612;"Unsaturated Acyclic Monocarboxylic Acids N.E.S.; Cyclic Monocarboxylic Acids, Their Anhydrides, Halides, Peroxides, Peroxyacids And Their Derivative"
291613;Methacrylic Acid And Its Salts And Esters
291614;Methacrylic Acid And Its Salts And Esters
291615;Oleic, Linoleic Or Linolenic Acids, Their Salts And Esters
291619;"Unsaturated Acyclic Monocarboxylic Acids N.E.S.; Cyclic Monocarboxylic Acids, Their Anhydrides, Halides, Peroxides, Peroxyacids And Their Derivative"
291620;"Unsaturated Acyclic Monocarboxylic Acids N.E.S.; Cyclic Monocarboxylic Acids, Their Anhydrides, Halides, Peroxides, Peroxyacids And Their Derivative"
291631;"Unsaturated Acyclic Monocarboxylic Acids N.E.S.; Cyclic Monocarboxylic Acids, Their Anhydrides, Halides, Peroxides, Peroxyacids And Their Derivative"
291632;"Unsaturated Acyclic Monocarboxylic Acids N.E.S.; Cyclic Monocarboxylic Acids, Their Anhydrides, Halides, Peroxides, Peroxyacids And Their Derivative"
291634;"Unsaturated Acyclic Monocarboxylic Acids N.E.S.; Cyclic Monocarboxylic Acids, Their Anhydrides, Halides, Peroxides, Peroxyacids And Their Derivative"
291635;"Unsaturated Acyclic Monocarboxylic Acids N.E.S.; Cyclic Monocarboxylic Acids, Their Anhydrides, Halides, Peroxides, Peroxyacids And Their Derivative"
291639;"Unsaturated Acyclic Monocarboxylic Acids N.E.S.; Cyclic Monocarboxylic Acids, Their Anhydrides, Halides, Peroxides, Peroxyacids And Their Derivative"
291711;"Polycarboxylic Acids, N.E.S. And Their Anhydrides, Halides, Peroxides And Peroxyacids; Their Halogenated, Sulfonated, Nitrated Etc. Derivatives"
291712;"Polycarboxylic Acids, N.E.S. And Their Anhydrides, Halides, Peroxides And Peroxyacids; Their Halogenated, Sulfonated, Nitrated Etc. Derivatives"
291713;"Polycarboxylic Acids, N.E.S. And Their Anhydrides, Halides, Peroxides And Peroxyacids; Their Halogenated, Sulfonated, Nitrated Etc. Derivatives"
291714;Maleic Anhydride
291719;"Polycarboxylic Acids, N.E.S. And Their Anhydrides, Halides, Peroxides And Peroxyacids; Their Halogenated, Sulfonated, Nitrated Etc. Derivatives"
291720;Cyclanic, Cyclenic Or Cycloterpenic Polycarboxylic Acids, Their Anhydrides, Halides, Peroxides, Peroxyacids And Their Derivatives
291731;"Polycarboxylic Acids, N.E.S. And Their Anhydrides, Halides, Peroxides And Peroxyacids; Their Halogenated, Sulfonated, Nitrated Etc. Derivatives"
291732;Dioctyl Orthophthalates
291733;"Polycarboxylic Acids, N.E.S. And Their Anhydrides, Halides, Peroxides And Peroxyacids; Their Halogenated, Sulfonated, Nitrated Etc. Derivatives"
291734;"Polycarboxylic Acids, N.E.S. And Their Anhydrides, Halides, Peroxides And Peroxyacids; Their Halogenated, Sulfonated, Nitrated Etc. Derivatives"
291735;Phthalic Anhydride
291736;"Polycarboxylic Acids, N.E.S. And Their Anhydrides, Halides, Peroxides And Peroxyacids; Their Halogenated, Sulfonated, Nitrated Etc. Derivatives"
291737;Dimethyl Terephthalate
291739;"Polycarboxylic Acids, N.E.S. And Their Anhydrides, Halides, Peroxides And Peroxyacids; Their Halogenated, Sulfonated, Nitrated Etc. Derivatives"
291811;Lactic Acid, Tartaric Acid, Citric Acid And Their Salts And Esters
291812;Lactic Acid, Tartaric Acid, Citric Acid And Their Salts And Esters
291813;Lactic Acid, Tartaric Acid, Citric Acid And Their Salts And Esters
291814;Lactic Acid, Tartaric Acid, Citric Acid And Their Salts And Esters
291815;Lactic Acid, Tartaric Acid, Citric Acid And Their Salts And Esters
291816;Carboxylic Acids With Alcohol Being The Only Oxygen Function, Their Anhydrides, Halides, Peroxides, Peroxyacids And Their Derivatives, N.E.S.
291817;Carboxylic Acids With Alcohol Being The Only Oxygen Function, Their Anhydrides, Halides, Peroxides, Peroxyacids And Their Derivatives, N.E.S.
291819;Carboxylic Acids With Alcohol Being The Only Oxygen Function, Their Anhydrides, Halides, Peroxides, Peroxyacids And Their Derivatives, N.E.S.
291821;Salicylic Acid And Its Salts And Esters
291822;Salicylic Acid And Its Salts And Esters
291823;Salicylic Acid And Its Salts And Esters
291829;Carboxylic Acids With Phenol Being The Only Oxygen Function, Their Anhydrides, Halides, Peroxides, Peroxyacids And Their Derivatives, N.E.S.
