SITC,Name
8933,Plastic Ornaments
8935,Plastic Lamps
8939,Miscellaneous Articles of Plastic
8940,"Baby carriages, toys, games and sporting goods"
8941,Baby Carriages
8942,Toys and Games
8946,Non-Military Arms
8947,Sporting Goods
8950,"Office and stationary supplies, nes"
8951,Metal Office Products
8952,Pens and Pencils
8959,Miscellaneous Office and Stationary Supplies
8960,Artwork
8970,"Jewellery, gold and other articles of precious metal"
8972,Imitation Jewellery
8973,Precious Jewellery
8974,Miscellaneous Articles of Precious Metals
8980,"Musical instruments, parts and accessories thereof"
8981,Pianos and String Instruments
8982,Miscellaneous Musical Instruments
8983,Sound Recording Media
8989,Musical Instrument Parts
8990,"Other miscellaneous manufactured articles, nes"
8991,Carving and Molding Tools
8993,Candles and Matches
8994,Umbrellas and Canes
8996,Orthopedic Devices
8997,Basketwork
8998,Miscellaneous Small Wares
8999,Miscellaneous Manufactured Goods
9110,Postal packages
9310,Unclassified Transactions
9410,Miscellaneous Live Animals
9510,"Armoured Vehicles, Firearms and Ammunition"
9610,Non-Gold Coin
9710,Gold
